comment,author,date,num_likes
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1949"">32:29</a> 이거 수이웃 영상 찾아봐서 수이웃 랃님 스킨이랑 비교해봤는데, 똑같다. 저거 마법사 모자 빼고는 100% 일치.. 기대해..봐도 되는 걸까요...?",@user-uj7je7wv4r,2024-03-11T09:39:28Z,1
제 이름이 수정인데 수정괴라니 너무하세요!,@user-zn5ql5co7o,2024-03-10T00:52:55Z,0
그래서 다음화는요,@user-wj8ln7fg2s,2024-03-09T06:56:46Z,3
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1340"">22:20</a> 아니 왜 쓸데없이 고퀄인데ㅋㅋㅋㅋ 돌아버리겠다 진짴ㅋㅋㅋ😂😂",@Duck_Duck,2024-03-04T13:41:39Z,2
아...이거 시리즈로 하면 조회수 많이 나올것같은데....아직 안늦었는데....아.......보고싶은데....,@user-pq6tq7mu9k,2024-03-03T09:32:45Z,1
그래서 다음화는 언제?,@user-jh3ej3xu5h,2024-03-02T03:23:58Z,1
재미있어요ㅎㅎㅎㅎ,@user-mn2bo8zt3y,2024-02-29T04:29:28Z,1
다움편언제 나오나요?,@user-bh3hu8pt7x,2024-02-28T18:11:10Z,4
음... 트롤헌터가 생각이나네....❤,@user-ht6qu6ru4b,2024-02-28T09:47:55Z,2
다음편 언제나와요?,@tv-lj9ly,2024-02-28T09:29:45Z,2
😂,@user-eg9pe8kd1j,2024-02-27T14:45:00Z,1
담편 나오나요??,@user-xu6ng1vz1n,2024-02-26T13:31:49Z,2
저건 ..세일러문..?,@user-jw1ow1ui7t,2024-02-26T12:53:14Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1338"">22:18</a> 정답! 림보",@user-nw2rm4sn8n,2024-02-26T10:00:35Z,0
다음화는 언제 나오나요ㅠㅠㅠ 너무 궁금해요!!,@limdmsdud,2024-02-26T02:49:01Z,1
뜰님 이거 시리즈물이죠? 그쵸? 제발..😢,@Ifeda436,2024-02-25T18:29:25Z,1
2화 나오면 좋겠다,@user-sn3oj8sz6z,2024-02-25T05:17:08Z,1
그래서 다음편은........,@bongskim6016,2024-02-24T10:31:51Z,1
라듐쓰면 방사능으로 다 쓰러뜨릴 수 있을것 같은데,@ksr0707,2024-02-23T09:12:12Z,0
제발 씨리즈물…!!!,@2eiia312,2024-02-21T14:21:12Z,1
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=374"">6:14</a> 덕개님 개 귀여우시네 ㅋㅋㅋ",@user-jr1qo8vj1v,2024-02-21T13:45:10Z,0
이거 나중에 수현님이 수정괴여서 싸우는 그림 나올것같은데,@Cat_isGod,2024-02-21T11:32:25Z,0
마법소녀(X) 과학소녀(O),@yeonsukim1686,2024-02-21T02:47:18Z,0
